Year,Act Name,,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/l77158.pdf"",""Legitimacy (Chapter 77)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/sdr78341.pdf"",""Sex Disqualification Removal (Chapter 78)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/aom79196.pdf"",""Age of Majority (Chapter 79)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/aof80283.pdf"",""Abolition of Fideicommissa (Chapter 80)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/p81214.pdf"",""Prescription (Chapter 81)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/pof84274.pdf"",""Prevention of Frauds (Chapter 84)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/eod85222.pdf"",""Execution of Deeds (Chapter 85)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/hkl86281.pdf"",""Hotel Keepers Liability (Chapter 86)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/lp87251.pdf"",""Lost Property (Chapter 87)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/rd88165.pdf"",""Riot Damages (Chapter 88)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ml90189.pdf"",""Money Lending (Chapter 90)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/boe92191.pdf"",""Bills of Exchange (Chapter 92)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/tr95244.pdf"",""Trust Receipts (Chapter 95)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/t96175.pdf"",""Trusts (Chapter 96)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/m98142.pdf"",""Mortgage (Chapter 98)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/pb99195.pdf"",""Pawn Brokers (Chapter 99)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/m100152.pdf"",""Maintenance (Chapter 100)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/bmo101303.pdf"",""British Maintenance Orders (Chapter 101)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/sd102200.pdf"",""State Debtors (Chapter 102)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/i103199.pdf"",""Insolvants (Chapter 103)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/a104180.pdf"",""Arbitration (Chapter 104)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/cpc105233.pdf"",""Civil Procedure Code (Chapter 105)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ps106327.pdf"",""Public Servants (Liabilities) (Chapter 106)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/cnajw107510.pdf"",""Contributory Negligence and Joint Wrongdoers (Chapter 107)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/sid108288.pdf"",""State (Liabilities in Delict) (Chapter 108)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/cole109268.pdf"",""Council of Legal Education (Chapter 109)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/n110157.pdf"",""Notaries (Chapter 110)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/iocol111459.pdf"",""Institute of Corporation of Lawyers (Chapter 111)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/la112107.pdf"",""Legal Aid (Chapter 112)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/mppman113580.pdf"",""Medical Practitioners, Pharmecists, Midwives and Nurses (Chapter 113)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ccop114316.pdf"",""Ceylon College of Physicians (Chapter 114)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/cogp115344.pdf"",""College of General Practitioners (Chapter 115)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/a104180.pdf"",""Ayurveda (Chapter 116)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/h117180.pdf"",""Homoepathy (Chapter 117)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/vsap118471.pdf"",""Veterinary Surgeons and Practitioners (Chapter 118)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ioca119404.pdf"",""Institute of Chartered Accountants (Chapter 119)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/iopm120403.pdf"",""Institute of Personnel Management (Chapter 120)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ioe121298.pdf"",""Institute of Engineers (Chapter 121)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ioc122322.pdf"",""Institute of Chemistry (Chapter 122)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/s123217.pdf"",""Surveyors (Chapter 123)"")",,,
